Date,Year,Month,Quarter,DayOfWeek,Open,High,Low,Close,Volume,Daily_Return_Pct,Cumulative_Return_Pct,Annual_Return_Pct,Volatility_21D,SMA_7,SMA_21,SMA_50,SMA_200,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,RSI_14,BB_Upper,BB_Mid,BB_Lower,BB_Width,ATR_14,OBV
1980-01-02,1980,1,1,Wednesday,107.94,108.43,105.29,105.76,40610000,,0.0,0.0,,,,,,105.76,105.76,0.0,0.0,0.0,,,,,,3.14,0.0
1980-01-03,1980,1,1,Thursday,105.76,106.08,103.26,105.22,50480000,-0.5106,-0.51,-0.51,,,,,,105.68,105.72,-0.04,-0.008,-0.032,0.0,,,,,3.12,-50480000.0
1980-01-04,1980,1,1,Friday,105.22,107.08,105.09,106.52,39130000,1.2355,0.72,0.72,,,,,,105.81,105.78,0.03,-0.0004,0.0304,15.62,,,,,3.04,-11350000.0
1980-01-07,1980,1,1,Monday,106.52,107.8,105.8,106.81,44500000,0.2722,0.99,0.99,,,,,,105.96,105.86,0.1,0.0197,0.0803,18.68,,,,,2.96,33150000.0
1980-01-08,1980,1,1,Tuesday,106.81,109.29,106.29,108.95,53390000,2.0036,3.02,3.02,,,,,,106.42,106.08,0.34,0.0837,0.2563,36.84,,,,,2.97,86540000.0
1980-01-09,1980,1,1,Wednesday,108.95,111.09,108.41,109.05,65260000,0.0918,3.11,3.11,,,,,,106.83,106.3,0.53,0.173,0.357,37.54,,,,,2.94,151800000.0
1980-01-10,1980,1,1,Thursday,109.05,110.86,108.47,109.89,55980000,0.7703,3.91,3.91,,107.46,,,,107.3,106.57,0.73,0.2844,0.4456,43.24,,,,,2.91,207780000.0
1980-01-11,1980,1,1,Friday,109.89,111.16,108.89,109.92,52890000,0.0273,3.93,3.93,,108.05,,,,107.7,106.82,0.88,0.4035,0.4765,43.44,,,,,2.86,260670000.0
1980-01-14,1980,1,1,Monday,109.92,111.44,109.34,110.38,52930000,0.4185,4.37,4.37,,108.79,,,,108.11,107.08,1.03,0.5288,0.5012,46.53,,,,,2.81,313600000.0
1980-01-15,1980,1,1,Tuesday,110.38,111.93,109.45,111.14,52320000,0.6885,5.09,5.09,,109.45,,,,108.58,107.38,1.2,0.6631,0.5369,51.27,,,,,2.78,365920000.0
